Trial,Node Size,Algorithm,Runs Time (ms)
50,7,Naive Camera Position,0.05
50,7,KD-Tree Camera Position,0.04
51,6,Minimum Dominating Set,0.06
51,6,Naive Camera Position,0.05
51,6,KD-Tree Camera Position,0.05
52,7,Minimum Dominating Set,0.05
52,7,Naive Camera Position,0.04
52,7,KD-Tree Camera Position,0.07
53,8,Minimum Dominating Set,0.09
53,8,Naive Camera Position,0.04
53,8,KD-Tree Camera Position,0.03
54,10,Minimum Dominating Set,0.14
54,10,Naive Camera Position,0.07
54,10,KD-Tree Camera Position,0.06
55,8,Minimum Dominating Set,0.08
55,8,Naive Camera Position,0.12
55,8,KD-Tree Camera Position,0.09
56,7,Minimum Dominating Set,0.07
56,7,Naive Camera Position,0.06
56,7,KD-Tree Camera Position,0.06
57,9,Minimum Dominating Set,0.10
57,9,Naive Camera Position,0.04
57,9,KD-Tree Camera Position,0.04
58,9,Minimum Dominating Set,0.09
58,9,Naive Camera Position,0.05
58,9,KD-Tree Camera Position,0.04
59,6,Minimum Dominating Set,0.04
59,6,Naive Camera Position,0.04
59,6,KD-Tree Camera Position,0.02
60,9,Minimum Dominating Set,0.07
60,9,Naive Camera Position,0.03
60,9,KD-Tree Camera Position,0.07
61,8,Minimum Dominating Set,0.09
61,8,Naive Camera Position,0.04
61,8,KD-Tree Camera Position,0.03
62,7,Minimum Dominating Set,0.05
62,7,Naive Camera Position,0.06
62,7,KD-Tree Camera Position,0.05
63,6,Minimum Dominating Set,0.05
63,6,Naive Camera Position,0.06
63,6,KD-Tree Camera Position,0.02
64,7,Minimum Dominating Set,0.08
64,7,Naive Camera Position,0.04
64,7,KD-Tree Camera Position,0.03
65,10,Minimum Dominating Set,0.13
65,10,Naive Camera Position,0.09
65,10,KD-Tree Camera Position,0.04
66,8,Minimum Dominating Set,0.09
66,8,Naive Camera Position,0.04
66,8,KD-Tree Camera Position,0.03
67,7,Minimum Dominating Set,0.08
67,7,Naive Camera Position,0.03
67,7,KD-Tree Camera Position,0.02
68,7,Minimum Dominating Set,0.07
68,7,Naive Camera Position,0.13
68,7,KD-Tree Camera Position,0.03
69,9,Minimum Dominating Set,0.09
69,9,Naive Camera Position,0.05
69,9,KD-Tree Camera Position,0.03
70,8,Minimum Dominating Set,0.08
70,8,Naive Camera Position,0.04
70,8,KD-Tree Camera Position,0.03
71,9,Minimum Dominating Set,0.10
71,9,Naive Camera Position,0.04
71,9,KD-Tree Camera Position,0.03
72,5,Minimum Dominating Set,0.06
72,5,Naive Camera Position,0.03
72,5,KD-Tree Camera Position,0.02
73,7,Minimum Dominating Set,0.09
73,7,Naive Camera Position,0.03
73,7,KD-Tree Camera Position,0.02
74,10,Minimum Dominating Set,0.11
74,10,Naive Camera Position,0.03
74,10,KD-Tree Camera Position,0.03
75,7,Minimum Dominating Set,0.07
75,7,Naive Camera Position,0.03
75,7,KD-Tree Camera Position,0.02
76,10,Minimum Dominating Set,0.10
76,10,Naive Camera Position,0.07
76,10,KD-Tree Camera Position,0.03
77,8,Minimum Dominating Set,0.11
77,8,Naive Camera Position,0.03
77,8,KD-Tree Camera Position,0.03
78,10,Minimum Dominating Set,0.12
78,10,Naive Camera Position,0.04
78,10,KD-Tree Camera Position,0.03
79,7,Minimum Dominating Set,0.05
79,7,Naive Camera Position,0.02
79,7,KD-Tree Camera Position,0.02
80,7,Minimum Dominating Set,0.05
80,7,Naive Camera Position,0.02
80,7,KD-Tree Camera Position,0.02
81,10,Minimum Dominating Set,0.09
81,10,Naive Camera Position,0.04
81,10,KD-Tree Camera Position,0.03
82,6,Minimum Dominating Set,0.05
82,6,Naive Camera Position,0.02
82,6,KD-Tree Camera Position,0.03
83,8,Minimum Dominating Set,0.05
83,8,Naive Camera Position,0.03
83,8,KD-Tree Camera Position,0.02
84,8,Minimum Dominating Set,0.05
84,8,Naive Camera Position,0.02
84,8,KD-Tree Camera Position,0.01
85,9,Minimum Dominating Set,0.07
85,9,Naive Camera Position,0.03
85,9,KD-Tree Camera Position,0.03
86,5,Minimum Dominating Set,0.04
86,5,Naive Camera Position,0.06
86,5,KD-Tree Camera Position,0.02
87,5,Minimum Dominating Set,0.12
87,5,Naive Camera Position,0.03
87,5,KD-Tree Camera Position,0.02
88,8,Minimum Dominating Set,0.06
88,8,Naive Camera Position,0.02
88,8,KD-Tree Camera Position,0.02
89,7,Minimum Dominating Set,0.04
89,7,Naive Camera Position,0.02
89,7,KD-Tree Camera Position,0.02
90,8,Minimum Dominating Set,0.06
90,8,Naive Camera Position,0.03
90,8,KD-Tree Camera Position,0.02
91,5,Minimum Dominating Set,0.04
91,5,Naive Camera Position,0.02
91,5,KD-Tree Camera Position,0.02
92,6,Minimum Dominating Set,0.07
92,6,Naive Camera Position,0.04
92,6,KD-Tree Camera Position,0.02
93,8,Minimum Dominating Set,0.06
93,8,Naive Camera Position,0.03
93,8,KD-Tree Camera Position,0.02
94,7,Minimum Dominating Set,0.08
94,7,Naive Camera Position,0.05
94,7,KD-Tree Camera Position,0.02
95,5,Minimum Dominating Set,0.02
95,5,Naive Camera Position,0.01
95,5,KD-Tree Camera Position,0.01
96,6,Minimum Dominating Set,0.03
96,6,Naive Camera Position,0.02
96,6,KD-Tree Camera Position,0.02
97,6,Minimum Dominating Set,0.04
97,6,Naive Camera Position,0.03
97,6,KD-Tree Camera Position,0.02
98,6,Minimum Dominating Set,0.04
98,6,Naive Camera Position,0.03
98,6,KD-Tree Camera Position,0.04
99,7,Minimum Dominating Set,0.05
99,7,Naive Camera Position,0.04
99,7,KD-Tree Camera Position,0.02
100,9,Minimum Dominating Set,0.06
100,9,Naive Camera Position,0.02
100,9,KD-Tree Camera Position,0.01
